,Siaya,Homa Bay,Kisumu,Migori,Nyamira,Kisii
2003,0.134200619,0.040786263,0.098103075,0.076798663,0.000658278,0.002603818
2007,0.0989,0.1792,0.0715,0.1108,,0.0288
2009,0.115670334,0.111527847,0.061906152,0.121887184,0.007661373,0.014746039
2012,0.163526695,0.145290719,0.09719458,0.057809847,0.009286313,0.00907821
