,Siaya,Homa Bay,Kisumu,Migori,Nyamira,Kisii
2003,0.164289978,0.134878984,0.119672026,0.089213856,0.029309637,0.049384006
2007,0.1783,0.2849,0.1211,0.155,,0.0514
2009,0.109348556,0.189748848,0.127351253,0.185551569,0.027521264,0.028438063
2012,0.200012603,0.211268361,0.158248623,0.074563414,0.064826424,0.013841492
