,Siaya,Homa Bay,Kisumu,Migori,Nyamira,Kisii
2003,0.182369603,0.109716048,0.166320119,0.180396609,0.002884598,0.011418711
2007,0.144450784,0.251393215,0.113904659,0.168521935,,0.044461965
2009,0.15262638,0.173665702,0.110858399,0.192257979,0.023374447,0.032975724
2012,0.221436246,0.200426733,0.192962031,0.137781885,0.049376567,0.043062503
