,Siaya,Homa Bay,Kisumu,Migori,Nyamira,Kisii
2003,0.242356421,0.245767855,0.191361948,0.186033218,0.074182027,0.085311852
2007,0.212999806,0.325905563,0.184740957,0.218145671,0,0.069307525
2009,0.19213261,0.252430518,0.181045575,0.222768964,0.054351447,0.057254454
2012,0.300250354,0.279345256,0.202719578,0.197001353,0.105336973,0.038194773
