,Siaya,Homa Bay,Kisumu,Migori,Nyamira,Kisii
2003,0.24615523,0.307581845,0.278328156,0.401455231,0.032766969,0.092713924
2007,0.2107,0.3448,0.1832,0.2543,,0.0706
2009,0.201080523,0.266995011,0.201287781,0.29901095,0.099866901,0.082924638
2012,0.379932428,0.31813628,0.335388873,0.28846022,0.124727081,0.096660277
