,Siaya,Homa Bay,Kisumu,Migori,Nyamira,Kisii
2003,0.347995835,0.419637008,0.300152299,0.371501664,0.211880905,0.151171612
2007,0.5697,0.5563,0.6583,0.6309,,0.6099
2009,0.327966367,0.330290346,0.255113212,0.266354731,0.116396745,0.12315805
2012,0.416753943,0.355824057,0.253299608,0.383779655,0.159241353,0.082267347
